food,calories,proteins,carbs,fats,category
oatmeal,379,13,55,9,carb
whey protein,402,75,13,5,protein
chicken breast,120,23,0,3,protein
lamb,292,24,0,20,protein
dressing,686,2,0,75,fat
porterhouse,139,22,0,5,protein
whole egg,143,13,1,10,protein
salmon,206,22,0,12,protein
olive oil,884,0,0,100,fat
dark chocolate,105,2,1,9,treat
apple,52,0,13,0,treat
broccoli,34,2,7,0,veggie
pasta,371,13,75,1,carb
apple,52,0,13,0,veggie
banana,89,1,23,0,veggie
blueberries,57,0,14,0,veggie
brown rice,356,7,72,3,carb
brussels,36,3,7,0,veggie
cherry tomato,18,0,4,0,veggie
dates,338,2,82,0,veggie
fettuccine,366,12.5,72,2,carb
green beans,31,1,7,0,veggie
mixed berries,60,1,11,1,veggie
mixed veggies,27,1,3,0,veggie
pineapple,48,0,12,0,veggie
potato,69,2,16,0,carb
spinach,23,2,3,0,veggie
weet-bix,379,8,73,4,carb
white rice,365,7,80,0,carb
whole wheat,233,10,40,2,carb
corn,93,3,17,0,veggie
cantaloupe,34,0,9,0,veggie
barley,352,10,77,1,carb
bread,265,13,43,4,carb
